track_id,user_id,danceability,valence,energy,tempo,loudness
1smFN2CLqGROu0J0UyvDfL,Shayad,0.483,0.319,0.468,135.875,-7.642
3F3ZuXYFXGM1V6pk3b3zmi,Kinni Kinni,0.883,0.608,0.525,97.005,-8.391
0UZLaEOSIc5kg0cc7eszqC,Manjha,0.524,0.368,0.515,169.882,-7.478
4BsLcWv5zyE69A1K5tY9CO,Magic | Coke Studio Bharat,0.957,0.924,0.514,126.044,-9.951
4thOONDx78zsY8sHGfU1M2,You and Me,0.695,0.408,0.786,102.022,-6.223
6Z1IBgysq1FfSzhQWUdvAc,pick up the phone,0.536,0.424,0.642,177.977,-5.072
2pUpNOgJBIBCcjyQZQ00qU,Let Her Go,0.445,0.217,0.541,76.289,-7.36
6v3KW9xbzN5yKLt9YKDYA2,Señorita,0.759,0.75,0.548,116.963,-6.049
6vuMdb0E8buJeSHArN3dXk,"Chale Aana (From ""De De Pyaar De"")",0.368,0.391,0.587,143.687,-6.676
76OGwb5RA9h4FxQPT33ekc,SNAP,0.565,0.525,0.636,170.01,-8.198
1eZefeDb8uOsjvcbl1fJrG,"Naina (From ""Crew"")",0.84,0.542,0.715,96.98,-5.141
5W7DOVGQLTigu09afW7QMT,295,0.557,0.432,0.794,91.366,-5.698
0JX7Es2j556FwtR6YqMKzP,Slow Motion Angreza,0.802,0.789,0.763,120.078,-6.456
1GMFeGQBppaepcx6NsR7qB,Sunday,0.405,0.608,0.56,128.258,-8.869
1rDQJd8kzwBRXeoTtojkQn,Roz,0.833,0.448,0.639,102.989,-6.964
2b2HutIDmoeBnnKRWDLAtV,Phir Mohabbat,0.461,0.262,0.481,199.807,-6.389
2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")",0.72,0.512,0.63,81.009,-5.549
3YsnwG1YYKuzYZzubRMc5d,Attitude,0.734,0.984,0.867,80.368,-4.456
4jk4CaqBMBbMZhf3PuR1ai,Phir Kabhi,0.405,0.404,0.665,81.921,-5.498
4nc6XiUze2Yh7wFueGOPv7,"Chaleya (From ""Jawan"")",0.575,0.439,0.845,95.047,-5.28
6871FKHumiy1Wfr6vF7Xxt,"Hawayein (From ""Jab Harry Met Sejal"")",0.606,0.453,0.601,125.961,-5.576
7BCp5hEiiDSmXsxsXkvYff,Qaafirana,0.413,0.208,0.433,169.954,-8.958
2W5acFzXf5FrktecuD30Or,One Love,0.683,0.854,0.722,95.012,-4.039
45PA9lW7U5LYnlpGrdTyHY,Sang Rahiyo,0.634,0.409,0.529,94.014,-11.374
1GEEOSTBIu59wbPWWwi0yN,Mere Samnewali Khidki Mein,0.853,0.852,0.573,139.978,-5.908
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,0.614,0.201,0.379,107.989,-10.48
1UReO1X8z8qcZRXXzly6FB,Arcade,0.448,0.221,0.352,72.111,-11.504
1feANd8EfcDP5UqSvbheM3,"Bekhayali (From ""Kabir Singh"")",0.308,0.345,0.585,171.843,-5.18
3oNVqllTnz7bHrY3f0nICg,Phir Bhi Tumko Chaahunga,0.528,0.269,0.524,99.636,-8.107
4TXDD8638Yzr38g1P166LK,Mere Samnewali Khidki Mein - Lofi,0.85,0.648,0.62,119.983,-5.842
5cgKosPPj5Cs9a2JQufUc1,Ilahi,0.593,0.452,0.967,131.988,-5.767
6DwBCjospi1c9WsRVfoCwN,Namo Namo,0.644,0.329,0.71,119.93,-6.217
6pFkZQ3o224K3dAR16oWAj,Zindagi Ek Safar Hai Suhana - Kishore Kumar,0.546,0.791,0.746,118.081,-9.557
7duKvhSoXrgOJuoGafhh37,Mere Samne Wali,0.831,0.372,0.211,115.008,-10.562
7fyiYhn7STpHvT5g0lbncC,Ik Vaari Aa,0.512,0.428,0.752,127.965,-4.857
29m79w9xPMH4YCD6r8JSmV,Excuses,0.837,0.494,0.717,94.984,-7.749
32765xcLM1fd6wQIpkN9A0,Hasi - Male Version,0.283,0.217,0.58,147.93,-5.946
3uUAbrwsttRpv2kfAvAUN9,Teri Yaad,0.433,0.288,0.383,77.074,-12.059
5G7pZ8G8NFvS1MQ9H4L7dC,Pal,0.51,0.321,0.502,133.885,-7.016
7BKLCZ1jbUBVqRi2FVlTVw,Closer,0.748,0.661,0.524,95.01,-5.599
0xIuPDzJSnJywALez8dwKR,With You,0.78,0.925,0.744,116.978,-4.773
1BpvuKIG7jK5EiTp2tv5z8,King Shit,0.794,0.68,0.566,85.953,-8.35
5cF0dROlMOK5uNZtivgu50,Attention,0.775,0.797,0.613,100.066,-4.586
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,0.628,0.732,0.698,89.976,-5.608
2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",0.427,0.306,0.396,70.368,-7.556
2IoZMG3RqiTmsy7Li3zGFg,"Mere Sohneya (From ""Kabir Singh"")",0.376,0.646,0.643,136.224,-5.713
2LcXJP95e4HKydTZ2mYfrx,Tujh Mein Rab Dikhta Hai,0.56,0.75,0.604,84.784,-8.732
2TzyJEUfWHGRsk3r6Emvbk,Daru Badnaam,0.541,0.845,0.676,90.037,-3.893
2rU33n6Fhd6G1MzYhUj6C5,Lut Gaye,0.638,0.515,0.785,91.101,-2.612
32LKwbmh6yVsWoRRF8DIvf,Na Ja,0.772,0.824,0.649,90.072,-6.411
